Country Name,year,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Regulatory Quality,Rule of Law,Voice and Accountability
Angola,1996,-1.16770184,-0.859939992,-2.061917305,-1.415345073,-1.630469322,-1.578163505
Angola,1998,-1.180450678,-1.055107117,-2.318058491,-1.445261717,-1.527338624,-1.411878705
Angola,2000,-1.197514296,-1.075034142,-2.038173914,-1.507048011,-1.601501703,-1.458064675
Angola,2002,-1.155492663,-1.132157087,-1.576179862,-1.294135094,-1.633343816,-1.238779068
Angola,2003,-1.335463285,-1.126208544,-1.00738585,-1.187467456,-1.482855916,-1.272615314
Angola,2004,-1.377568841,-1.334659338,-1.063120604,-1.226713538,-1.520916343,-1.285479784
Angola,2005,-1.323181987,-1.10631907,-0.885178328,-1.240036249,-1.464794993,-1.234719396
Angola,2006,-1.241037726,-1.381511211,-0.539453447,-1.156215668,-1.31127274,-1.252087951
Angola,2007,-1.307493567,-1.209614277,-0.666658759,-1.075312614,-1.375133514,-1.18531394
Angola,2008,-1.308764577,-1.064504504,-0.361787379,-1.101495981,-1.378563881,-1.119346857
Angola,2009,-1.397766113,-0.947048008,-0.347591847,-1.059525251,-1.236289263,-1.126135349
Angola,2010,-1.332474947,-1.142090201,-0.226182342,-1.0602175,-1.272953272,-1.120525122
Angola,2011,-1.367469072,-1.197987199,-0.36923781,-1.107531548,-1.277053237,-1.125478387
Angola,2012,-1.302401423,-0.990929544,-0.389322549,-0.990437567,-1.304776907,-1.076246738
Angola,2013,-1.336874723,-1.246629715,-0.391233474,-1.041670442,-1.290795803,-1.113843679
Angola,2014,-1.457798243,-1.055083632,-0.333232045,-0.860683441,-1.074789524,-1.145230174
Angola,2015,-1.409269571,-0.893182993,-0.500897765,-0.84234482,-1.013800979,-1.177087069
Angola,2016,-1.467879415,-0.936142445,-0.315898836,-0.957892835,-0.99123174,-1.140292645
Angola,2017,-1.428053498,-0.919977069,-0.380449027,-1.026228189,-1.026077271,-1.098074555
Angola,2018,-1.180501461,-0.978714645,-0.33569175,-0.785790086,-0.986207545,-0.906310201
Angola,2019,-1.078113675,-1.084010243,-0.358524978,-0.820471883,-0.993774951,-0.78340435
Angola,2020,-0.953371167,-1.203528404,-0.514614642,-0.841778457,-0.913334012,-0.802130938
Angola,2021,-0.655345798,-1.059368968,-0.710836232,-0.662632108,-0.952415645,-0.840915978
Benin,1996,-0.548114896,-0.380564451,1.050371766,-0.176318303,0.052315507,0.259205192
Benin,1998,-0.649413109,-0.349467725,0.742279053,-0.14522028,0.050550632,0.425980747
Benin,2000,-0.7009179,-0.396729678,0.799652576,-0.160908803,-0.181523725,0.412923425
Benin,2002,-0.795710146,-0.576151073,0.821515858,-0.573989809,-0.260578573,0.050879639
Benin,2003,-0.577583432,-0.568775833,0.679285824,-0.621432841,-0.425706029,0.187651932
Benin,2004,-0.563022554,-0.528148711,0.265973479,-0.619886994,-0.476601571,0.053056307
Benin,2005,-0.871326268,-0.659076095,0.449746281,-0.641528606,-0.534019768,-0.029964076
Benin,2006,-0.587095916,-0.651569664,0.54789257,-0.461876184,-0.531569779,0.36277771
Benin,2007,-0.470139265,-0.549093544,0.386217624,-0.506433964,-0.513145149,0.36818099
Benin,2008,-0.514077365,-0.498357534,0.376421362,-0.554605663,-0.530703068,0.344647467
Benin,2009,-0.627268314,-0.598890066,0.403666675,-0.398531437,-0.65431422,0.342523217
