Country Name,year,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Regulatory Quality,Rule of Law,Voice and Accountability
Angola,1996,9.677419662,21.31147575,3.723404169,7.608695507,3.5175879,6
Angola,1998,7.486630917,15.8469944,1.06382978,8.695652008,5.5,9.452735901
Angola,2000,8.510638237,12.02185822,1.587301612,7.065217495,2.48756218,8.955224037
Angola,2002,7.936507702,9.729729652,9.523809433,9.189188957,2.48756218,12.93532372
Angola,2003,5.291005135,11.89189148,19.59799004,11.89189148,5.97014904,10.9452734
Angola,2004,5.911330223,4.975124359,16.5048542,9.452735901,5.288461685,11.53846169
Angola,2005,6.341463566,12.74509811,21.35922241,10.29411793,6.220095634,12.01923084
Angola,2006,7.804878235,5.365853786,28.01932335,12.25490189,8.133971214,11.53846169
Angola,2007,5.339805603,10.19417477,24.1545887,16.5048542,6.220095634,14.42307663
Angola,2008,4.368932247,14.0776701,31.25,15.04854393,7.211538315,15.86538506
Angola,2009,2.87081337,19.1387558,32.70142365,15.31100464,9.478672981,14.69194317
Angola,2010,3.809523821,10.52631569,37.91469193,14.83253574,8.056872368,14.69194317
Angola,2011,3.317535639,9.004739761,34.59715652,12.32227516,8.92018795,14.55399036
Angola,2012,4.739336491,17.06161118,35.0710907,18.00947952,7.51173687,15.96244144
Angola,2013,4.739336491,9.478672981,35.0710907,15.63981056,7.51173687,15.96244144
Angola,2014,3.846153736,15.38461494,32.8571434,21.63461494,11.53846169,15.27093601
Angola,2015,4.326922894,18.75,28.09523773,22.59615326,13.46153831,15.27093601
Angola,2016,4.807692528,16.82692337,33.33333206,16.34615326,16.34615326,16.74876785
Angola,2017,5.769230843,17.78846169,30.47619057,13.46153831,14.90384579,17.73398972
Angola,2018,11.05769253,15.86538506,35.37735748,22.11538506,16.34615326,22.70531464
Angola,2019,12.98076916,12.5,32.07546997,18.75,15.86538506,25.12077332
Angola,2020,18.26922989,10.57692337,26.88679314,19.71153831,18.75,26.08695602
Angola,2021,27.88461494,12.98076916,20.75471687,27.40384674,17.30769157,24.63768196
Benin,1996,34.94623566,41.530056,84.57447052,47.82608795,53.26633072,59
Benin,1998,33.68983841,44.26229477,72.87233734,48.36956406,54,62.6865654
Benin,2000,31.38297844,42.07650375,74.6031723,45.10869598,46.26865768,60.69651794
Benin,2002,26.98412704,34.59459305,73.54497528,33.51351166,45.27363205,51.24378204
Benin,2003,35.97883606,35.13513565,69.34673309,27.56756783,40.79602051,54.72636795
Benin,2004,33.99014664,38.30845642,54.36893082,28.35820961,39.42307663,51.44230652
Benin,2005,20.48780441,32.84313583,61.16504669,25.98039246,35.40670013,49.51922989
Benin,2006,34.14634323,32.19512177,63.28502274,36.27450943,37.32057571,57.69230652
Benin,2007,37.86407852,34.46601868,57.97101593,32.52427292,36.84210587,57.69230652
Benin,2008,36.89320374,38.34951401,56.73077011,31.06796074,36.53845978,57.69230652
Benin,2009,29.66507149,34.44976044,60.1895752,37.79904175,31.27962112,57.81990433
Benin,2010,29.52380943,32.53588486,53.55450058,37.32057571,30.33175278,56.87203979
Benin,2011,33.175354,35.54502487,57.34597015,36.96682358,30.51643181,54.46009445
Benin,2012,20.37914658,36.4928894,58.2938385,37.91469193,34.74178314,54.92957687
Benin,2013,24.64455032,36.01895905,58.2938385,37.44075775,34.74178314,55.86854553
Benin,2014,29.80769157,35.09615326,47.1428566,29.80769157,36.05769348,57.1428566
Benin,2015,35.09615326,28.84615326,45.23809433,30.28846169,33.65384674,58.62068939
Benin,2016,35.57692337,31.25,47.1428566,29.32692337,30.76922989,60.09852219
Benin,2017,34.61538315,25.48077011,47.1428566,32.21154022,30.28846169,58.12807846
Benin,2018,42.30769348,30.76922989,41.03773499,37.01922989,26.92307663,56.52173996
Benin,2019,43.26922989,36.05769348,30.6603775,36.53845978,26.92307663,49.27536392
Benin,2020,54.80769348,41.82692337,32.07546997,36.05769348,24.51922989,42.99517059
Benin,2021,50.48077011,44.23077011,35.37735748,37.01922989,29.80769157,37.68115997
Cabo Verde,1996,83.33333588,,82.44680786,27.17391396,81.9095459,75
Cabo Verde,1998,83.95722198,,88.29787445,29.89130402,69.5,73.63184357
Cabo Verde,2000,84.04255676,,90.47618866,53.80434799,69.65174103,72.13930511
Cabo Verde,2002,71.95767212,47.02702713,70.89946747,44.32432556,58.70646667,69.15422821
Cabo Verde,2003,70.37036896,47.56756592,78.89447021,47.56756592,60.19900513,65.67163849
Cabo Verde,2004,66.00984955,46.26865768,83.00971222,35.32338333,60.57692337,68.75
Cabo Verde,2005,71.21951294,47.54901886,68.93203735,43.13725662,59.80861282,62.5
Cabo Verde,2006,77.07317352,54.63414764,79.71014404,45.09803772,68.89952087,72.59615326
Cabo Verde,2007,77.66990662,62.13592148,77.77777863,41.74757385,69.37799072,72.59615326
Cabo Verde,2008,78.1553421,54.85437012,74.5192337,50,67.30769348,74.5192337
Cabo Verde,2009,77.51196289,53.11004639,74.8815155,52.1531105,64.9289093,73.4597168
Cabo Verde,2010,78.09523773,53.11004639,75.35545349,48.32535934,64.9289093,73.93364716
Cabo Verde,2011,78.67298889,58.76777267,69.19431305,53.55450058,65.25821686,76.52581787
Cabo Verde,2012,77.25118256,59.24170685,72.98577881,53.08057022,65.25821686,76.05633545
Cabo Verde,2013,77.25118256,56.39810562,69.66824341,47.86729813,66.1971817,74.17840576
Cabo Verde,2014,79.80769348,56.73077011,58.57143021,46.15384674,75,74.87684631
Cabo Verde,2015,79.80769348,60.09615326,74.2857132,48.55769348,72.11538696,75.36946106
Cabo Verde,2016,78.36538696,58.65384674,76.19047546,46.63461685,60.09615326,76.84729004
Cabo Verde,2017,79.80769348,59.61538315,72.38095093,50.96154022,63.94230652,77.33990479
Cabo Verde,2018,78.84615326,66.34615326,74.52830505,51.44230652,66.82691956,79.22705078
Cabo Verde,2019,79.80769348,62.98077011,76.88679504,51.92307663,66.82691956,78.26087189
Cabo Verde,2020,80.28845978,61.05769348,75.94339752,58.65384674,66.34615326,76.32849884
Cabo Verde,2021,83.17308044,55.28845978,77.83018494,61.05769348,62.01922989,78.26087189
Cameroon,1996,3.763440847,13.66120243,19.68085098,13.04347801,7.0351758,20
Cameroon,1998,3.208556175,22.95081902,19.68085098,17.93478203,14.5,16.91542244
Cameroon,2000,2.127659559,22.95081902,29.10052872,20.652174,12.4378109,16.91542244
Cameroon,2002,5.82010603,18.37837791,26.45502663,15.67567539,9.452735901,16.91542244
Cameroon,2003,14.81481457,22.70270348,31.15577888,18.37837791,12.93532372,19.90049744
Cameroon,2004,11.82266045,23.88059616,32.52427292,23.38308525,13.46153831,19.71153831
Cameroon,2005,11.21951199,17.64705849,40.29126358,20.58823586,11.00478458,17.78846169
Cameroon,2006,13.65853691,18.53658485,38.64734268,21.07843208,11.48325348,19.23077011
Cameroon,2007,16.01941681,20.87378693,34.29951859,20.87378693,11.00478458,19.23077011
Cameroon,2008,15.53398037,21.35922241,26.92307663,20.87378693,12.5,18.26922989
Cameroon,2009,17.70335007,21.05263138,29.85782051,24.4019146,12.79620838,17.06161118
Cameroon,2010,14.28571415,20.09569359,22.74881554,25.35885239,13.27014256,17.06161118
Cameroon,2011,11.37440777,19.9052124,26.54028511,23.22274971,13.61502361,19.24882698
Cameroon,2012,7.109004974,21.32701492,26.54028511,20.85308075,15.49295807,17.37089157
Cameroon,2013,9.952606201,19.43128014,27.48815155,18.00947952,14.55399036,17.8403759
Cameroon,2014,10.09615421,20.67307663,12.38095284,19.23077011,18.26922989,21.67487717
Cameroon,2015,12.5,21.15384674,15.23809528,16.82692337,14.42307663,22.66009903
Cameroon,2016,11.53846169,22.11538506,13.33333302,22.59615326,13.46153831,21.18226624
Cameroon,2017,11.05769253,19.71153831,12.38095284,20.19230843,14.42307663,20.19704437
Cameroon,2018,11.53846169,18.75,8.490566254,19.71153831,12.5,17.39130402
Cameroon,2019,11.05769253,19.23077011,8.018867493,18.26922989,12.01923084,15.942029
Cameroon,2020,12.5,17.78846169,10.37735844,21.15384674,12.5,15.45893764
Cameroon,2021,13.94230747,17.30769157,9.905660629,17.30769157,13.46153831,17.87439537
"Congo, Rep.",1996,23.11828041,9.836065292,11.17021275,10.86956501,17.58794022,23
"Congo, Rep.",1998,5.882352829,10.92896175,9.042552948,10.326087,3,7.960198879
"Congo, Rep.",2000,19.68085098,10.382514,19.57671928,12.5,8.45771122,9.452735901
"Congo, Rep.",2002,16.40211678,6.486486435,8.465608597,16.75675583,8.955224037,22.38805962
"Congo, Rep.",2003,9.523809433,8.648648262,15.07537651,12.97297287,8.955224037,24.8756218
"Congo, Rep.",2004,15.27093601,11.44278622,14.0776701,16.91542244,12.01923084,21.15384674
"Congo, Rep.",2005,15.1219511,8.333333015,15.04854393,9.8039217,5.74162674,16.34615326
"Congo, Rep.",2006,11.70731735,8.292682648,18.84057999,11.76470566,9.090909004,13.94230747
"Congo, Rep.",2007,10.19417477,5.825242519,21.25603867,11.65048504,10.04784679,11.53846169
"Congo, Rep.",2008,8.737864494,9.708738327,21.63461494,9.223300934,9.615385056,15.38461494
"Congo, Rep.",2009,8.133971214,7.655502319,36.4928894,6.698564529,9.952606201,15.16587639
"Congo, Rep.",2010,12.38095284,8.612440109,34.12322235,8.133971214,9.478672981,16.587677
"Congo, Rep.",2011,12.32227516,8.530805588,35.0710907,9.004739761,10.32863808,15.96244144
"Congo, Rep.",2012,9.952606201,10.90047359,31.27962112,8.056872368,10.79812241,15.49295807
"Congo, Rep.",2013,10.42654037,11.84834099,29.85782051,7.582938194,12.20657253,15.49295807
"Congo, Rep.",2014,9.134614944,13.46153831,30.95238113,9.134614944,10.57692337,18.22660065
"Congo, Rep.",2015,9.615385056,14.42307663,26.66666603,7.211538315,11.53846169,21.18226624
"Congo, Rep.",2016,10.57692337,11.53846169,25.7142849,10.09615421,11.05769253,15.27093601
"Congo, Rep.",2017,7.211538315,9.615385056,27.61904716,6.730769157,10.57692337,16.25615692
"Congo, Rep.",2018,8.17307663,10.57692337,33.49056625,6.730769157,11.53846169,15.45893764
"Congo, Rep.",2019,5.288461685,8.17307663,16.98113251,8.17307663,10.09615421,14.00966167
"Congo, Rep.",2020,5.288461685,6.25,18.86792374,4.807692528,12.01923084,14.49275398
"Congo, Rep.",2021,6.25,6.730769157,25.94339561,7.692307472,12.01923084,14.97584534
"Congo, Dem. Rep.",1996,0,3.825136662,0,3.260869503,1.005025148,4.5
"Congo, Dem. Rep.",1998,1.069518685,2.732240438,0,1.630434752,0.5,3.482587099
"Congo, Dem. Rep.",2000,0.53191489,2.732240438,0,3.260869503,0.99502486,2.98507452
"Congo, Dem. Rep.",2002,1.058201075,1.081081033,2.116402149,3.243243217,0.49751243,5.97014904
"Congo, Dem. Rep.",2003,1.058201075,1.621621609,3.5175879,2.702702761,0.49751243,6.467661858
"Congo, Dem. Rep.",2004,3.448275805,2.98507452,1.45631063,2.98507452,1.923076868,3.846153736
"Congo, Dem. Rep.",2005,1.951219559,2.450980425,1.45631063,3.431372643,3.82775116,6.730769157
"Congo, Dem. Rep.",2006,0.975609779,1.951219559,0.966183603,9.8039217,2.392344475,12.5
"Congo, Dem. Rep.",2007,3.883495092,1.45631063,2.898550749,9.223300934,1.91387558,12.5
"Congo, Dem. Rep.",2008,4.854369164,1.45631063,3.365384579,7.281553268,2.884615421,9.615385056
"Congo, Dem. Rep.",2009,1.91387558,1.435406685,3.791469097,5.263157845,1.895734549,8.530805588
"Congo, Dem. Rep.",2010,1.428571463,1.435406685,3.317535639,4.78468895,2.369668245,9.478672981
"Congo, Dem. Rep.",2011,1.421800971,1.895734549,2.369668245,5.213270187,1.877934217,7.51173687
"Congo, Dem. Rep.",2012,2.843601942,1.421800971,2.843601942,5.213270187,0.938967109,7.042253494
"Congo, Dem. Rep.",2013,4.265402794,4.739336491,2.843601942,9.478672981,2.816901445,8.450704575
"Congo, Dem. Rep.",2014,6.730769157,4.326922894,4.761904716,7.211538315,2.884615421,12.31527138
"Congo, Dem. Rep.",2015,7.692307472,4.807692528,4.761904716,6.25,2.403846264,12.31527138
"Congo, Dem. Rep.",2016,7.211538315,6.25,4.285714149,7.692307472,4.807692528,9.359605789
"Congo, Dem. Rep.",2017,5.288461685,5.288461685,3.333333254,6.25,3.846153736,8.374383926
"Congo, Dem. Rep.",2018,3.846153736,6.25,4.245283127,5.769230843,2.403846264,7.729468822
"Congo, Dem. Rep.",2019,3.365384579,5.288461685,7.547169685,5.288461685,1.923076868,13.04347801
"Congo, Dem. Rep.",2020,2.403846264,3.365384579,6.13207531,6.25,2.884615421,14.97584534
"Congo, Dem. Rep.",2021,4.326922894,3.846153736,8.490566254,6.730769157,3.846153736,15.45893764
