area_name,domestic_landings_2019,domestic_landings_2030,aquaculture_2019,aquaculture_2030,demand_2019,demand_2030
Angola,524512.8217,631978.8,1934,5542.8,458000,593219.5088
Benin,68259.04849,69420.87,5892.45,1179.427,204000,338312.863
Cameroon,269999.7402,185151.97,6900,23306,497000,727987.4931
Cape Verde,25579.31138,34636.72,5,96.8,6000,7738.032547
Congo,11275.43339,13973.466,731,1542.6,135000,202159.5482
Democratic Republic of the Congo,44361.67496,51024.31,4290,8771,374000,527631.9423
Equatorial Guinea,11301.07987,12710.786,15,15,16000,13068.67247
Gabon,40984.56422,68257.91,55,102,73000,97381.86075
Gambia,81661.44307,95805.49,33,33.8,61000,90767.58441
Ghana,521070.2009,458360.25,52360,124400,775000,1050704.981
Guinea,531833.9108,356207.56,806.2,2633,148000,232960.9253
Guinea-Bissau,33345.35161,37679.902,20,11.67098511,2000,3023.084491
Ivory Coast,93889.04998,101317.81,5020,8548,590000,978369.9207
Liberia,31057.22143,21384.324,250,385.5,22000,33446.0598
Mauritania,918943.8052,668508.5,0,0,38000,58707.0983
Morocco,1850995.247,1942193.5,1598.11,3557.879,680000,842409.3528
Namibia,547754.0219,583891.2,388.96,203.976,29000,34700.58356
Nigeria,529866.9195,614896.25,289543,205107.823,1791000,2343582.616
Sao Tome and Principe,6039.704207,12709.29,0,0,6000,7309.625742
Senegal,1247166.93,1172333.9,1010,1374.6,285000,465950.6154
Sierra Leone,297316.825,303962.38,100,185.5,203000,288344.2055
Togo,23332.06527,30126.66,1000,2740.8,77000,120142.9872
