area_name,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Angola,604204.1,589863.25,602968.44,611195.2,510799.9,535981.4,569788.2,529312.25,437032.7,615820.4,617416.25
Benin,74471.42,73269.13,78354.39,61739.21,59334.94,77631.17,82870.85,70188.695,75903.92,68265.016,56143.47
Guinea,334500.88,351709.88,237760.44,337383.38,315143.4,376403.03,276452.44,179297.4,395137.3,328340.75,352668.7
Guinea-Bissau,38689.31,42427.51,41646.395,36402.844,39287.03,55223.297,33611.812,38270.773,43257.83,49746.004,38237.48
Ivory Coast,80953,69200.36,84257.68,90926.76,90919.33,89687.06,106451.98,78019.99,84711.055,86340.88,96268.625
Liberia,23267.168,27399.025,30115.574,24227.082,25031.516,19004.756,31144.87,23994.502,15953.065,30992.99,24062.996
Mauritania,653821.9,606751.7,645885.1,676508,353989.38,697718.75,801284.44,701459.94,353149.53,471714.03,609047.6
Morocco,2030294.8,2174098.5,2019591.8,1663898.8,1934011.5,1728226.9,1463788,1994967.1,1441216,1438371.1,2203213.2
Namibia,454498.75,431752.4,519874.28,652967.9,541222.44,619140.25,674940,580097.1,473488.03,675654.9,357152.78
Nigeria,674881.06,418270.6,477164.6,568075,644559.44,526779.44,489345.12,680515.94,548720,550376.1,582839.94
Sao Tome and Principe,11924.36,7780.921,11823.269,14475.879,10878.52,11417.95,12064.452,11940.059,7873.117,9284.03,11682.0625
Senegal,1104068.2,1341410.1,1271718.5,1038148.1,1396558.5,1196106.6,1232236.5,871552.9,1284055.8,1444630.4,965011.94
Cameroon,152271.45,244632.58,171191.64,184572.95,229737.92,192454.12,225932.56,260013.36,207611.67,193460.7,251116
Sierra Leone,330935.72,377731.16,301990.84,337112.84,309271.06,421828.25,277562.56,278675.5,297937.22,284598.12,266627.9
Togo,25900.844,26289.21,27033.082,28901.13,28247.482,29739.611,31902.58,28397.902,27280.715,28711.69,30459.43
Cape Verde,19309.629,44895.473,44635.152,41878.617,35233.14,27327.002,35696.688,21966.48,34228.348,35327.676,28639.744
Congo,10583.071,12509.363,13131.052,14756.576,14566.882,13745.56,16488.568,11154.555,12491.757,12814.865,12594.122
Democratic Republic of the Congo,43955.254,32955.8,71391.19,52195.81,36540.863,46645.676,73049.89,41426.293,63580.508,53078.586,59132.266
Equatorial Guinea,13230.265,11499.898,13129.8,9931.172,12456.534,14385.27,11731.209,11823.335,14159.602,11280.74,12815.566
Gabon,63030.766,88192.74,70636.61,92146.414,76963.1,112359,74811.75,59196.535,76443.38,49140.203,67444.16
Gambia,79633.52,108816.25,95786.6,101390.336,123269.445,69233.1,84470.516,106719.586,96852.76,100287.414,87881.92
Ghana,742540.94,479088.25,577489.75,476252.5,698461.5,490504.38,725967,600413.4,524644.7,748361.2,521119.2
