area_name,2013,2014,2015,2016,2017,2018,2019
Angola,455259.9,443969.7,419227.38,620338.9,524474,645667.7,641545.9
Benin,51253.56,46644.094,50870.125,67058.23,58746.04,70338.02,70029.56
Guinea,229143.98,257907.78,291647.53,348830.78,280471.8,366345.5,363325.3
Guinea-Bissau,31736.158,37571.73,33069.617,36784.906,30485.643,38126.125,37975.53
Ivory Coast,80005.414,77838.09,78954.664,100393.87,81523.79,102758.125,102328.28
Liberia,15651.801,21422.215,17499.018,20359.883,23861.951,21416.49,21391.766
Mauritania,422641.9,643121.9,688384.7,640465.25,659134,681414.94,677359.94
Morocco,1767534,1939599.6,1814083.6,1894956.9,1865486,1976195.6,1962698.5
Namibia,433946.06,328773.72,439524.06,558070.5,553954.6,593518.7,590249.2
Nigeria,467266.8,612676.2,474411.44,590698.94,618809.7,625651.56,622109.94
Sao Tome and Principe,10098.937,9106.072,10170.768,12490.91,10067.696,12963.067,12885.787
Senegal,984729.4,995246.06,978383.25,1138793.5,1045275.8,1198266,1189873.2
Cameroon,186796.36,125551.29,134508.5,179173.64,176105.84,189147.36,187884.89
Sierra Leone,241089.66,258028.77,342315.2,294775.5,295463.16,308635.56,306978.6
Togo,26385.97,26040.666,26150.781,29925.666,28540.326,30480.844,30375.77
Cape Verde,27562.812,27572.725,30611.404,33402.46,37708.28,34940.43,34825.676
Congo,12971.519,13747.155,10439.282,13817.004,12653.267,14163.728,14106.643
Democratic Republic of the Congo,37023.39,49700.4,41688.746,49809.836,43301.332,51229.36,51148.684
Equatorial Guinea,8481.134,9997.755,9873.548,12565.332,10124.089,12879.3125,12826.179
Gabon,50793.523,79128.42,59756.07,65526.895,50569.15,69369.14,68990.195
Gambia,80484.52,59705.637,63620.668,92121.74,52641.766,97741.78,97178.65
Ghana,443949.72,454228.2,404274.94,425894.78,526132.3,457607.1,457355.44
