area_name,2013,2014,2015,2016,2017,2018,2019
Angola,554302.06,557362.44,565389.94,584016.9,559569.44,520643.97,524527.2
Benin,65868.38,65255.445,65108.305,65691.75,66673.734,64842.85,65925.3
Guinea,378522.4,391301.62,374150.66,424713.03,487028.6,544183.2,527016.56
Guinea-Bissau,33990.137,33657.914,34273.453,33670.363,33988.547,33319.53,33142.57
Ivory Coast,85375.84,81478.94,81287.05,80259.31,85059.664,89654.3,90428.16
Liberia,28598.693,28350.467,27984.209,27822.305,28606.752,28903.646,30050.643
Mauritania,602703.1,622711.2,823477.2,977169.44,1205791.2,1045788.8,1052581.4
Morocco,1651604.8,1691545.8,1738882,1723122.9,1738277.2,1750110.2,1747934.2
Namibia,534154.94,563297.1,582695.56,579217.7,591421.8,550715.3,561145.5
Nigeria,453778.44,455349.1,461994.4,519733.84,547638.06,519842.56,530970.7
Sao Tome and Principe,10058.422,11440.485,12462.436,12219.159,10391.444,8194.73,8432.248
Senegal,1015317.7,1080237.9,1144217,1204069,1153882.1,1171762.1,1169884.2
Cameroon,160761.45,170534.83,195434.66,222764.81,248575.98,265957.06,259933.12
Sierra Leone,262561.1,275679.4,284945.1,284333.9,286481.28,284719.34,280409.47
Togo,21793.4,21516.41,26681.295,25679.715,24871.568,24328.236,24496.193
Cape Verde,68107.04,57750.09,45618.965,33697.023,33498.426,28063.951,28434.502
Congo,11914.865,11741.137,11503.972,11619.392,11421.95,11084.869,11325.876
Democratic Republic of the Congo,55505.594,53370.53,57361.445,68829.74,75646.086,56461.816,58114.363
Equatorial Guinea,11191.082,11048.174,11072.93,11036.645,11180.448,11111.283,11090.656
Gabon,61973.836,57645.887,57086.51,51788.125,50772.74,46860.535,47601.31
Gambia,90451.914,90812.9,89450.83,81432.336,74578.266,72849.98,72201.45
Ghana,458604.5,473637.9,509421.25,505142.84,506908.72,512404.97,515790.12
