area_name,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Angola,542583.8,660420.56,551820.8,538470.8,591396.06,487909.16,560879.56,512462.72,496319.88,553456.25,631978.8
Benin,78344.49,67360.51,81942.54,67623.68,66186.2,70495.29,88806.99,79118.7,81004.484,68729.9,69420.87
Guinea,355674.56,300298.62,203336.14,324106.06,293528.94,296965.78,261967.06,234194.27,386768.53,312007.06,356207.56
Guinea-Bissau,39137.254,44287.42,37291.574,34934.96,38986.395,46194.105,35669.05,37935.246,46810.082,39301.703,37679.902
Ivory Coast,79900.48,77599.586,87621.055,88347.16,89530.75,94240.38,102334.32,82660.11,79970.77,84445.05,101317.81
Liberia,28873.848,26931.838,29560.314,25361.895,22301.004,21957.328,26919.55,24853.506,19052.404,27647.688,21384.324
Mauritania,753144.44,566857.56,613249.4,545424.8,426566.12,682636.94,766203,452926.25,483094.44,532734.2,668508.5
Morocco,1897840.8,1923038.8,1737601.6,2115740,1741324.6,1813656.5,1810518.2,2071880.1,1655904.8,1627947.5,1942193.5
Namibia,523107.34,575919.25,533363.8,673761.6,732777.56,628875.25,777713.8,600961.44,578513.3,699119.7,583891.2
Nigeria,634016.75,567751.7,428836.1,573575.8,623423.9,515295.03,545920.1,628845.56,501873.44,538368.5,614896.25
Sao Tome and Principe,12609.997,9290.519,11490.306,12875.413,8747.361,10785.4375,13148.941,12156.307,10456.709,11371.529,12709.29
Senegal,1314525.8,1162331,1275487.1,1196188.6,1162232.4,1097164,1199698,965976.7,1465481.4,1308928.4,1172333.9
Cameroon,152892.97,259699.55,169334.02,207712.17,189145.8,184815.56,221827.45,266197.34,195987.62,185554.38,185151.97
Sierra Leone,315647.4,284035.53,316727.94,317734.25,303188.4,354177.84,274243.62,280112.72,257753.16,257405.19,303962.38
Togo,28066.123,28177.805,28886.627,29534.363,29029.51,30991.094,27020.762,29188.031,27669.75,27261.719,30126.66
Cape Verde,39380.67,45357.11,40204.902,33757.457,31393.943,32350.898,37591.29,29144.125,34230.035,36569.152,34636.72
Congo,10844.683,12419.46,13562.071,14049.968,14486.609,13250.909,13609.413,10906.674,12637.13,11713.082,13973.466
Democratic Republic of the Congo,54722.363,38775.293,64931.43,69345.94,48842.86,59947.31,70723.91,37052.406,61389.23,48503.195,51024.31
Equatorial Guinea,13330.186,13010.472,11649.807,11005.95,12586.334,12901.629,12131.106,11179.938,12932.331,11211.1,12710.786
Gabon,73847.48,88152.38,79195.87,88139.64,81995.46,95166.61,76597.555,68969.67,69995.56,45067.9,68257.91
Gambia,72618.06,88933.18,84980.33,104308.68,111561.914,113570.17,91623.68,100222.516,113815.25,104416.49,95805.49
Ghana,589422.56,443468.9,549381.6,485939.3,587383.56,462675.97,663860.1,610960.9,623597.06,681466.8,458360.25
