area_name,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Angola,922799,942658.7,1133794.8,1000545.56,1112165.6,960049.44,890878.5,920379.7,881423.4,926165.4,764128.06
Benin,91962.63,142228.39,163768.64,108006.95,117674.45,204356.6,133893.81,123609.1,125408.695,94657.86,126220.84
Guinea,543506.56,532323.06,532046.94,645356.2,734101.44,601767.94,552860.75,487390.2,587842.7,504692.75,634558.8
Guinea-Bissau,57692.52,69706.46,66034.31,62164.824,56146.312,97855.336,64715.87,63958.406,53663.652,76648.91,63812.99
Ivory Coast,116264.09,125001.83,128207.66,122882.53,135718.47,124423.72,125204.4,127541.445,113565.03,116345.03,138069.95
Liberia,119250.42,37334.35,38750.066,35055.258,51587.734,47811.934,57259.184,57626.176,42663.242,49617.05,33629.906
Mauritania,1145723.1,1060214.8,1295284,1388359.9,2142280.2,1493847.5,1267723,1385299,1133320.2,1234444,1554512.2
Morocco,3521233.2,3767725.8,4845641,3103925.8,3381020,3434372,6490377.5,3033524.5,4513930,2838548.2,4066480.2
Namibia,1056401,1134850.4,1068189.5,1145136.5,1256125.2,1172417.6,1283260,1275400.8,2766162,992051,1249752.2
Nigeria,1211364.8,1153042.6,1240775.5,1067431.6,811487.9,957760,1176528.9,1259032.5,1084159.6,1113306.9,905572.06
Sao Tome and Principe,20615.799,24577.01,19255.209,22598.088,18660.12,25212.246,22520.207,21277.98,23183.178,19283.3,17834.908
Senegal,2029811.5,2196273.8,1737779.9,2139909.2,2427547,1990291.8,2226037.8,1787790.8,1868078.5,2402404.2,2339414.5
Cameroon,278604.22,301537.7,294394.5,296135.53,244180.05,386498.66,364520.84,323194.66,326445.62,333846.62,854366
Sierra Leone,477628.8,610978.56,735592.7,586740.5,558927.75,614886.75,551445.1,563777.8,579762,648568.4,467256.1
Togo,46767.863,41980.996,33780.117,50547.82,41888.84,34765.93,52826.117,37402.31,48492.31,37819.64,40239.125
Cape Verde,207872.02,70664.77,63822.863,66310.11,59352.305,64087.574,56859.42,63021.387,88318.02,66058.38,74148.73
Congo,20516.055,17709.092,19929.588,16063.211,17011.123,16015.189,27853.732,16317.575,20831.322,20019.03,19787.283
Democratic Republic of the Congo,129391.586,123612.54,95883.68,129975.84,113167.65,143664.44,82455.695,80762.71,91759.086,86010.68,101700.79
Equatorial Guinea,17473.586,16326.235,18462.352,16147.267,16518.86,20325.62,17185.34,21616.402,21813.746,16098.679,15535.011
Gabon,154402.16,158155.23,152851.56,173868.69,139438.27,123786.05,133153.73,161268.11,136595.03,124430.91,152654.92
Gambia,233178.45,187939.97,141106.84,144690.28,158342.75,178238.23,159403.72,216858.5,209135.92,159753.81,207522.84
Ghana,1165066.4,1165962,1271081.8,828949.94,1657113.4,1076048.6,1343826.4,1299393.9,911384.1,1034204.56,1257507.2
