Area,Year,Collapsed,Over-exploited,Exploited,Developing,Rebuilding
Canary Current,1950,0,0,4.49,95.51,0
Canary Current,1951,0,0,4.44,95.56,0
Canary Current,1952,0,0,4.49,95.51,0
Canary Current,1953,0,0,4.47,95.53,0
Canary Current,1954,0,0,3.33,96.67,0
Canary Current,1955,0,0,3.31,96.69,0
Canary Current,1956,0,0,3.87,96.13,0
Canary Current,1957,0,0,4.97,95.03,0
Canary Current,1958,0,0,3.8,96.2,0
Canary Current,1959,0,0,4.23,95.77,0
Canary Current,1960,0,0,4.61,95.39,0
Canary Current,1961,0,0,4.98,95.02,0
Canary Current,1962,0,0,6.19,93.81,0
Canary Current,1963,0,0,4.82,95.18,0
Canary Current,1964,0,0,6.44,93.56,0
Canary Current,1965,0.43,0.86,5.58,93.13,0
Canary Current,1966,0,0.85,8.05,91.1,0
Canary Current,1967,0,1.27,8.02,90.72,0
Canary Current,1968,0.83,0.83,8.68,89.67,0
Canary Current,1969,0,1.66,10.79,87.55,0
Canary Current,1970,0,2.07,11.2,86.72,0
Canary Current,1971,0.41,2.07,13.28,84.23,0
Canary Current,1972,1.22,2.03,19.51,77.24,0
Canary Current,1973,1.2,0.8,20.88,77.11,0
Canary Current,1974,1.19,2.38,20.63,75.79,0
Canary Current,1975,1.59,4.78,19.52,74.1,0
Canary Current,1976,2.02,4.03,20.16,73.39,0.4
Canary Current,1977,1.57,7.06,17.65,73.33,0.39
Canary Current,1978,2.34,7.03,18.36,71.48,0.78
Canary Current,1979,2.71,9.69,17.05,70.16,0.39
Canary Current,1980,2.34,8.59,17.58,70.7,0.78
Canary Current,1981,3.47,12.36,15.06,68.73,0.39
Canary Current,1982,4.28,10.89,17.51,66.54,0.78
Canary Current,1983,4.63,10.42,18.15,66.41,0.39
Canary Current,1984,4.25,13.13,17.76,64.09,0.77
Canary Current,1985,3.89,13.23,20.23,61.87,0.78
Canary Current,1986,5.45,12.06,20.23,61.48,0.78
Canary Current,1987,5.45,12.84,21.79,58.75,1.17
Canary Current,1988,6.46,13.31,22.05,57.03,1.14
Canary Current,1989,7.28,14.18,21.07,55.94,1.53
Canary Current,1990,6.44,16.29,21.97,54.17,1.14
Canary Current,1991,9.06,14.72,21.89,53.21,1.13
Canary Current,1992,9.02,16.17,22.18,51.88,0.75
Canary Current,1993,10.27,14.83,21.67,52.09,1.14
Canary Current,1994,9.2,16.48,22.22,50.57,1.53
Canary Current,1995,8.09,19.49,21.32,48.9,2.21
Canary Current,1996,9.03,18.05,22.38,48.38,2.17
Canary Current,1997,10.83,17.69,22.02,48.01,1.44
Canary Current,1998,12.41,15.25,23.05,47.52,1.77
Canary Current,1999,11.51,16.55,21.94,48.2,1.8
Canary Current,2000,12.5,17.01,21.88,45.49,3.13
Canary Current,2001,13.45,19.66,22.41,40.69,3.79
Canary Current,2002,15.59,18.64,21.36,41.36,3.05
Canary Current,2003,15.75,19.18,22.26,38.7,4.11
Canary Current,2004,17.01,21.09,22.11,35.71,4.08
Canary Current,2005,18.18,17.51,25.25,34.01,5.05
Canary Current,2006,17.35,21.77,22.79,32.65,5.44
Canary Current,2007,17.79,22.82,22.48,30.87,6.04
Canary Current,2008,19.87,22.56,22.22,28.96,6.4
Canary Current,2009,22.03,21.02,20.68,29.15,7.12
Canary Current,2010,22.22,21.21,23.57,25.59,7.41
Canary Current,2011,21.14,26.17,18.79,23.83,10.07
Canary Current,2012,20.14,24.91,20.82,22.53,11.6
Canary Current,2013,21.38,26.21,21.38,21.72,9.31
Canary Current,2014,21.77,22.79,26.53,18.37,10.54
Canary Current,2015,21.99,23.71,25.09,16.49,12.71
Canary Current,2016,21.58,21.58,25.34,16.44,15.07
Canary Current,2017,22.34,21.65,28.52,12.37,15.12
Canary Current,2018,22.6,23.97,27.74,9.93,15.75
Canary Current,2019,23.47,24.49,25.17,9.86,17.01
Guinea Current,1950,0,0,2.44,97.56,0
Guinea Current,1951,0,0,2.41,97.59,0
Guinea Current,1952,0,0,2.41,97.59,0
Guinea Current,1953,0,0,4.82,95.18,0
Guinea Current,1954,0,0,4.76,95.24,0
Guinea Current,1955,0,0,4.76,95.24,0
Guinea Current,1956,0,0,6.43,93.57,0
Guinea Current,1957,0,0,5.08,94.92,0
Guinea Current,1958,0.54,0,4.89,94.57,0
Guinea Current,1959,0.52,0,8.76,90.72,0
Guinea Current,1960,0.52,0,8.76,90.72,0
Guinea Current,1961,0.52,1.04,7.77,90.67,0
Guinea Current,1962,0.52,1.03,10.31,88.14,0
Guinea Current,1963,0.52,1.04,10.94,87.5,0
Guinea Current,1964,1.02,0.51,12.69,85.79,0
Guinea Current,1965,1.03,0.52,13.4,85.05,0
Guinea Current,1966,0.99,1.97,12.81,84.24,0
Guinea Current,1967,0.49,4.43,9.36,85.71,0
Guinea Current,1968,1.48,2.96,11.33,84.24,0
Guinea Current,1969,1.46,2.93,14.15,81.46,0
Guinea Current,1970,1.46,2.44,14.15,81.46,0.49
Guinea Current,1971,1.43,4.29,15.71,78.1,0.48
Guinea Current,1972,2.35,2.35,16.9,78.4,0
Guinea Current,1973,2.78,2.31,14.81,79.63,0.46
